position_x,position_y,condition,result,target_x,target_y,target_theta
0.5,-0.15,0,1,0.83,-0.15,90
0.83,-0.15,0,1,0.76,1.27,180
0.76,1.27,0,1,0.52,1.2,180
0.52,1.2,0,1,0.74,1.2,95
0.74,1.2,0,1,0.7,2.3,95
0.7,2.3,0,1,0.2,2.3,95
0.2,2.3,0,1,0.2,3.3,95
0.2,3.3,0,1,0.45,3.3,95
0.45,3.3,0,1,0.4,4.1,90
0.4,4.1,0,1,0.81,4.1,90
0.81,4.1,0,1,0.7,4.1,90
0.7,4.1,0,1,0.7,4.75,90
0.7,4.75,0,1,0.3,4.75,90
0.3,4.75,0,1,0.3,5.8,90
0.3,5.8,0,1,0.62,5.8,90
0.62,5.8,0,1,0.59,6.3,90
0.59,6.3,0,1,0.71,6.3,90
0.71,6.3,0,1,0.64,6.3,90
0.64,6.3,0,1,0.64,7.1,90
0.64,7.1,0,1,0.7,7.1,90
0.7,7.1,0,1,0.7,9.45,90
0.7,9.45,0,1,0.05,9.35,90
0.05,9.35,0,1,0.15,10.3,90

